genericName,hetName
imipenem,8YF
imipramine,IXX
imiquimod,6T0
indinavir,MK1
indomethacin,IMN
ingenol,WUD
inositol,INS
iodine,_HG
ibrutinib,1E8
iodipamide,IDB
ipratropium,X8M
irinotecan,CP0
isavuconazole,QKM
isoeugenol,EUG
isoflurane,ICF
isoniazid,ISZ
isoprenaline,5FW
isopropyl,IPA
isoxicam,ICD
ibuprofen,IZP
itraconazole,1YN
ivacaftor,VX7
ivermectin,IVM
ixabepilone,GZX
ixazomib,6V8
icosapent,EPA
idarubicin,DM5
idelalisib,40L
idoxuridine,ID2
iloprost,IL2
imatinib,STI
